,date,stock,Value
0,2017-01-03,AMC,34.75
1,2017-01-04,AMC,34.2
2,2017-01-05,AMC,34.0
3,2017-01-06,AMC,33.8
4,2017-01-09,AMC,33.3
5,2017-01-10,AMC,34.15
6,2017-01-11,AMC,34.3
7,2017-01-12,AMC,34.0
8,2017-01-13,AMC,34.25
9,2017-01-17,AMC,33.9
10,2017-01-18,AMC,33.8
11,2017-01-19,AMC,33.9
12,2017-01-20,AMC,34.3
13,2017-01-23,AMC,34.1
14,2017-01-24,AMC,34.3
15,2017-01-25,AMC,34.15
16,2017-01-26,AMC,34.25
17,2017-01-27,AMC,34.0
18,2017-01-30,AMC,34.15
19,2017-01-31,AMC,33.75
20,2017-02-01,AMC,33.0
21,2017-02-02,AMC,33.05
22,2017-02-03,AMC,32.9
23,2017-02-06,AMC,32.65
24,2017-02-07,AMC,32.5
25,2017-02-08,AMC,31.05
26,2017-02-09,AMC,31.0
27,2017-02-10,AMC,31.35
28,2017-02-13,AMC,31.35
29,2017-02-14,AMC,31.4
30,2017-02-15,AMC,31.5
31,2017-02-16,AMC,31.25
32,2017-02-17,AMC,31.2
33,2017-02-21,AMC,30.85
34,2017-02-22,AMC,31.35
35,2017-02-23,AMC,31.35
36,2017-02-24,AMC,31.4
37,2017-02-27,AMC,31.45
38,2017-02-28,AMC,31.35
39,2017-03-01,AMC,30.4
40,2017-03-02,AMC,29.75
41,2017-03-03,AMC,29.4
42,2017-03-06,AMC,29.3
43,2017-03-07,AMC,29.45
44,2017-03-08,AMC,29.55
45,2017-03-09,AMC,29.55
46,2017-03-10,AMC,30.15
47,2017-03-13,AMC,30.4
48,2017-03-14,AMC,30.55
49,2017-03-15,AMC,30.1
50,2017-03-16,AMC,30.2
51,2017-03-17,AMC,30.6
52,2017-03-20,AMC,30.6
53,2017-03-21,AMC,30.15
54,2017-03-22,AMC,30.3
55,2017-03-23,AMC,30.2
56,2017-03-24,AMC,30.85
57,2017-03-27,AMC,30.8
58,2017-03-28,AMC,30.55
59,2017-03-29,AMC,30.95
60,2017-03-30,AMC,31.15
61,2017-03-31,AMC,31.45
62,2017-04-03,AMC,31.85
63,2017-04-04,AMC,31.55
64,2017-04-05,AMC,31.0
65,2017-04-06,AMC,30.8
66,2017-04-07,AMC,30.35
67,2017-04-10,AMC,30.65
68,2017-04-11,AMC,30.7
69,2017-04-12,AMC,30.3
70,2017-04-13,AMC,30.2
71,2017-04-17,AMC,30.7
72,2017-04-18,AMC,30.5
73,2017-04-19,AMC,30.4
74,2017-04-20,AMC,30.95
75,2017-04-21,AMC,30.9
76,2017-04-24,AMC,30.7
77,2017-04-25,AMC,31.0
78,2017-04-26,AMC,31.2
79,2017-04-27,AMC,30.7
80,2017-04-28,AMC,30.3
81,2017-05-01,AMC,29.8
82,2017-05-02,AMC,30.05
83,2017-05-03,AMC,30.1
84,2017-05-04,AMC,29.4
85,2017-05-05,AMC,29.1
86,2017-05-08,AMC,28.8
87,2017-05-09,AMC,28.9
88,2017-05-10,AMC,27.95
89,2017-05-11,AMC,27.5
90,2017-05-12,AMC,26.9
91,2017-05-15,AMC,26.45
92,2017-05-16,AMC,25.75
93,2017-05-17,AMC,24.6
94,2017-05-18,AMC,24.5
95,2017-05-19,AMC,25.3
96,2017-05-22,AMC,25.0
97,2017-05-23,AMC,24.65
98,2017-05-24,AMC,23.5
99,2017-05-25,AMC,23.4
100,2017-05-26,AMC,24.7
101,2017-05-30,AMC,23.35
102,2017-05-31,AMC,22.5
103,2017-06-01,AMC,23.45
104,2017-06-02,AMC,24.8
105,2017-06-05,AMC,25.0
106,2017-06-06,AMC,24.4
107,2017-06-07,AMC,23.75
108,2017-06-08,AMC,23.65
109,2017-06-09,AMC,23.3
110,2017-06-12,AMC,23.5
111,2017-06-13,AMC,24.25
112,2017-06-14,AMC,24.2
113,2017-06-15,AMC,24.05
114,2017-06-16,AMC,24.65
115,2017-06-19,AMC,24.75
116,2017-06-20,AMC,23.6
117,2017-06-21,AMC,23.05
118,2017-06-22,AMC,23.05
119,2017-06-23,AMC,23.6
120,2017-06-26,AMC,23.55
121,2017-06-27,AMC,23.35
122,2017-06-28,AMC,23.9
